tx_id,account1,account2,amount,tx_date
49,6038-1115-5192-4296,6350-7280-2159-4652,3714,2017-11-15
50,4396-1674-6572-3470,8888-4449-7585-9388,2442,2005-06-06
51,5516-2697-3911-4263,2885-8663-9339-2852,290,2010-04-22
52,9828-4945-5747-9013,7458-1488-1700-5296,132,2005-05-12
53,7408-3480-7245-4832,7709-2815-5062-7969,301,2015-01-10
54,6267-5200-8324-2440,8916-4267-9850-4440,288,2006-12-12
55,5853-7762-2338-4573,3801-2978-8256-1683,19869,2003-12-04
56,9893-4203-8665-4327,8459-6336-4427-8091,211,2015-06-06
57,3606-8187-7380-5582,2612-8627-5044-4868,251,2008-11-12
58,6399-5413-5220-2697,7274-6120-9911-6699,198,2017-10-01
59,7337-3043-4085-4026,1852-5951-3815-8419,164,2000-12-01
60,9313-1866-7301-9370,3269-4933-5533-1859,134,2010-07-30
61,1905-6063-4749-7367,4114-9487-8043-4346,123,2016-11-17
62,4992-2874-1192-1710,3606-8187-7380-5582,261,2017-08-23
63,2813-2569-7201-5240,8494-5676-9953-5757,953,2007-03-07
64,3097-8744-4037-3622,2990-7332-9395-6247,1156,2012-06-17
65,1975-4230-8758-7590,5156-5928-3235-1246,3296,2002-06-15
66,6072-2519-9360-3359,2000-2404-2759-8589,149,2010-09-24
67,6797-3038-6577-1765,8382-4501-9151-1003,207,2009-09-06
68,8261-9104-6002-3793,5572-8094-4393-2410,650,2003-08-03
69,9686-6701-6701-8741,8201-8285-4081-3604,126,2000-12-07
70,7140-4811-5670-9751,2212-2233-2161-3574,3168,2002-02-05
71,5701-8347-5939-9672,6148-6310-5689-1674,124,2013-02-04
72,6892-9465-4285-1284,2269-5879-8317-7375,486,2011-10-20
73,5516-2697-3911-4263,5850-9253-7469-3530,509,2005-04-16
74,3073-2031-9944-9687,2500-3268-8860-4919,4751,2006-01-14
75,7147-6356-6428-6293,9687-8106-5149-3337,362,2006-05-22
76,9686-6701-6701-8741,5063-9569-1651-1732,2806,2003-10-30
77,3606-8187-7380-5582,4992-2874-1192-1710,103,2014-07-07
78,3072-3467-7590-8779,6818-2356-2907-4750,355,2012-04-25
79,8314-3416-7476-5620,2245-2776-1411-9680,121,2007-08-24
80,1771-5127-6404-6326,6820-2481-4082-1357,248,2005-01-20
81,1080-6261-6522-6896,6877-7441-9342-8209,1282,2012-06-02
82,3162-7428-1388-6437,9989-6870-5281-9773,145,2010-11-26
83,2033-4806-2133-1513,9808-8731-2556-7951,1775,2016-12-29
84,5739-9966-6704-3248,1738-5151-7976-1238,179,2006-12-25
85,5096-5474-7155-3433,8264-1864-3025-6498,214,2010-01-19
86,5734-4141-9219-8688,2578-2545-9144-6144,109,2005-04-29
87,4394-2936-8081-4824,6579-9093-8897-6324,1123,2003-11-02
88,8809-4140-9235-1854,6193-1569-8069-2844,585,2013-06-22
89,8779-7520-2159-5012,5586-1915-3583-6666,372,2000-05-09
90,9304-3783-6011-1625,7396-5640-9930-5713,5644,2003-07-31
91,6208-8216-2075-5017,2512-9908-8545-5222,136,2007-11-10
92,6818-2356-2907-4750,1913-9669-3622-8194,126691,2000-07-10
93,1864-7468-1860-3771,2809-8660-7961-5781,1258,2004-03-29
94,3029-1146-3750-4393,7584-8397-8661-8366,5210,2009-06-27
95,1304-8966-8330-9214,9523-1394-4017-2362,2161,2003-10-07
96,2037-1540-5616-7992,3011-6917-5247-6906,225,2003-02-28
97,1458-6051-5599-5730,7382-2221-5183-2633,109,2003-05-25
98,4849-4935-8748-5932,3971-5723-5963-8192,193,2001-01-29
99,8115-5721-9380-7961,5316-9731-9262-9479,1753,2012-06-13
100,2424-7292-9736-5880,3712-2175-4885-2805,83230,2014-05-24
101,5941-2885-2820-6073,6399-5413-5220-2697,540,2004-07-30
102,8459-6336-4427-8091,5457-1890-2615-6757,128,2001-04-19
103,9090-5783-8260-1912,5159-2266-7730-3533,1375,2008-01-06
104,3463-9329-5788-7533,8614-6199-1761-1343,144,2011-09-19
105,8442-8346-9447-8041,9991-9943-3339-7726,241,2000-11-22
106,1771-5127-6404-6326,9984-6320-9675-9644,279,2013-12-04
107,1771-5127-6404-6326,3899-7421-9861-5513,101,2000-06-08
108,9697-9014-5492-6451,1304-8966-8330-9214,307955,2006-05-03
109,5691-2055-2330-2670,2053-2548-9090-5796,323,2016-06-06
110,9758-7096-7051-3310,1864-7468-1860-3771,726,2005-05-02
111,9944-8201-6012-7227,9313-1866-7301-9370,750,2004-05-05
112,3152-9361-5239-2968,9686-6701-6701-8741,758,2007-02-10
113,9858-4261-2179-4724,3232-5866-6250-9033,1024,2007-04-08
114,6761-6707-4411-2875,9241-3245-7274-3077,100,2013-07-04
115,1864-7468-1860-3771,6797-3038-6577-1765,254,2006-09-23
116,5544-1664-9111-9796,5240-2509-7923-2455,250,2009-01-22
117,4626-6215-7456-5051,1057-8214-6391-7655,3975,2017-04-09
118,9758-7096-7051-3310,6579-9093-8897-6324,208,2000-05-31
119,3862-1253-7554-9981,9289-5273-6133-1758,1117,2003-05-23
120,9686-6701-6701-8741,9480-6184-9688-9325,1125,2000-01-20
121,9984-6320-9675-9644,8949-3002-2567-8661,785,2012-10-11
122,4719-7909-6704-6014,5634-3596-9782-8448,404,2012-09-11
123,9941-6653-1749-7497,6272-7779-3585-7072,149,2005-06-06
124,2611-2023-5416-1453,8223-4445-5171-5212,242,2017-08-24
125,1626-6015-4454-5000,4308-8741-7237-7873,134,2013-02-26
126,2683-4231-6291-1829,5550-4271-9814-9680,1900,2003-04-20
127,9918-6928-7086-2434,2809-8660-7961-5781,114,2017-07-11
128,9653-3864-2533-8581,4987-5052-1703-3716,516,2001-04-10
129,7895-1007-2934-2600,7015-3859-9654-6037,147,2000-12-10
130,2100-1900-2157-2245,2512-9908-8545-5222,271,2009-12-30
131,9788-9787-4071-5802,7030-8622-9550-5255,182,2013-07-01
132,2290-1141-4466-3962,1576-8465-8909-7614,115,2013-06-17
133,7702-9419-4438-7560,4208-8785-5104-2444,221,2011-05-02
134,7483-1990-1340-9859,6571-2381-3709-4494,514,2013-01-11
135,6060-1587-2303-6607,7927-8297-8574-3013,125,2016-09-18
136,4872-8425-9172-3669,5572-8094-4393-2410,523,2005-08-21
137,8461-1562-9585-6932,5586-1915-3583-6666,1400,2013-10-14
138,9687-8106-5149-3337,8888-4449-7585-9388,831,2014-11-15
139,9304-3783-6011-1625,3464-9041-9685-4130,58321,2004-05-02
140,9000-9329-7254-6181,5612-3715-1530-1060,2312,2002-06-08
141,7406-3374-3749-1650,7154-9757-3578-7232,105,2017-07-17
142,9684-5022-7970-3940,6595-6179-5858-4069,11284,2005-11-20
143,3959-8037-6289-9952,3351-4760-4818-6192,741,2002-12-19
144,1087-8904-6825-4431,4053-9988-3423-9713,104,2013-12-31
145,4259-3117-3452-9450,2874-5741-2396-8396,1383,2015-12-30
146,1836-2168-7185-7169,8237-5748-7975-7008,199,2016-01-31
147,6950-5362-1455-3764,5098-6584-6700-3453,100,2017-10-07
148,9868-4205-8693-4723,5673-5835-3291-6530,284,2008-02-27
149,3049-5183-3857-1585,5463-9678-8316-2982,151,2002-08-27
150,6123-8711-8275-9146,1032-3219-1528-9019,412,2013-12-22
151,6402-4491-5233-7816,2448-7293-7145-2790,10152,2008-12-25
152,7483-1990-1340-9859,2751-8326-2748-1222,491,2001-04-19
153,5419-4971-7418-3232,9357-6323-4302-8422,5453,2015-03-30
154,6353-2118-1534-7171,1075-2409-5853-8663,220,2013-03-29
155,7684-6930-7569-8830,6208-8216-2075-5017,220537,2004-08-28
156,2212-2233-2161-3574,4630-8446-4653-4319,159,2010-12-30
157,8223-4445-5171-5212,5159-2266-7730-3533,274,2007-09-20
158,5534-8044-9545-6725,4137-7604-4430-3532,188,2011-11-30
159,7665-8945-6552-4268,6457-1220-2908-7341,294,2006-06-29
160,7396-5640-9930-5713,9005-1446-8677-9928,1445,2003-03-27
161,1235-2186-8683-4492,2359-8955-2419-6854,142,2000-05-27
162,7520-8493-9389-4848,5266-1204-1077-9564,394,2004-06-04
163,8916-4267-9850-4440,6137-6369-6621-7629,426,2002-07-15
164,2964-8907-1422-7179,2769-6713-7879-3858,112079,2002-05-01
165,8779-7520-2159-5012,6399-5413-5220-2697,997,2008-10-04
166,3996-3317-5816-2143,4193-3497-4936-1752,1414,2016-07-14
167,4193-3497-4936-1752,2990-7332-9395-6247,167,2009-10-18
168,7709-2815-5062-7969,5159-2266-7730-3533,350,2005-07-10
169,7968-6585-2886-9618,5517-5979-6775-8239,376,2015-01-26
170,7253-4522-1894-3879,7371-6061-6314-1687,861,2011-09-07
171,5063-9569-1651-1732,2838-5671-7351-8356,17478,2003-12-28
172,4963-8511-3670-3954,5572-8094-4393-2410,3836,2007-08-12
173,3138-2711-9965-9406,7745-9176-5730-1126,107,2001-04-10
174,2398-3455-6766-9627,3288-5659-2893-9112,25751,2010-01-04
175,6704-6452-2536-3164,2813-2569-7201-5240,173,2005-03-06
176,8085-9582-1243-4673,7253-4522-1894-3879,108,2014-12-06
177,6201-7251-9231-7581,9984-6320-9675-9644,145,2006-07-26
178,9697-9014-5492-6451,6642-1169-2286-8599,460,2017-07-17
179,7554-2549-5558-9706,2809-8660-7961-5781,44455,2002-08-16
180,4308-8741-7237-7873,5572-8094-4393-2410,305,2014-01-12
181,9085-5461-7829-8907,8544-5881-5984-4503,7523,2009-11-04
182,6439-5136-7573-6261,8770-7273-7965-5827,160,2002-02-28
183,3967-5549-4579-5590,5266-1204-1077-9564,1879,2005-10-27
184,8949-3002-2567-8661,2612-8627-5044-4868,127,2006-06-27
185,1167-9580-8172-9922,2212-2233-2161-3574,175,2012-04-11
186,7406-3374-3749-1650,4963-8511-3670-3954,230,2008-05-26
187,2813-5791-2397-6891,3845-4924-4041-7802,1603,2008-09-17
188,5063-9569-1651-1732,3544-5783-4670-5363,225,2010-09-01
189,5550-4271-9814-9680,2611-2023-5416-1453,298,2014-07-15
190,4158-2899-9017-9842,6054-4392-9381-9487,635,2000-01-31
191,3073-2031-9944-9687,4719-7909-6704-6014,130,2010-11-14
192,1905-6063-4749-7367,9430-9838-4603-6381,378,2008-07-23
193,2751-8326-2748-1222,9266-9532-4600-5592,154,2011-07-16
194,2864-2456-7543-6860,3767-1206-7158-1125,354,2006-08-08
195,7833-1982-9148-6434,3877-4446-9438-5658,167,2008-02-16
196,5063-9569-1651-1732,7140-4811-5670-9751,329,2005-11-19
197,3061-8785-8289-3095,3593-8172-8085-7605,106,2006-08-01
198,9694-3225-9765-8815,6213-4799-6433-6641,206,2013-07-05
199,7927-8297-8574-3013,1200-7726-4331-5076,708,2001-03-19
200,7140-4811-5670-9751,3152-9361-5239-2968,5694,2013-05-01
201,6181-6777-2337-5442,5127-7040-9454-3377,140,2004-10-11
202,6759-5358-1905-6087,2874-5741-2396-8396,3159,2016-01-28
203,1735-5620-2707-3660,9241-6706-6081-5893,18199,2016-08-19
204,5634-3596-9782-8448,6374-2533-4318-4302,195,2000-12-07
205,7408-3480-7245-4832,2809-8660-7961-5781,195,2011-06-20
206,1771-5127-6404-6326,7584-8397-8661-8366,616,2009-01-08
207,5637-8999-2591-4865,7498-7170-7397-5801,196,2007-09-13
208,1087-8904-6825-4431,9286-3155-5067-9054,535,2009-03-28
209,5816-8021-9672-8995,6737-3025-9962-4700,130,2012-02-22
210,1997-1183-6694-8861,8201-8285-4081-3604,392,2001-07-10
211,8288-5929-1941-5761,7927-8297-8574-3013,113,2002-12-08
212,1383-3039-2728-2675,7919-7542-9594-4738,138,2008-07-13
213,6072-2519-9360-3359,7263-7913-3714-6029,305,2002-07-09
214,1210-3321-3878-4306,9289-5273-6133-1758,178,2002-09-08
215,7610-6717-4033-6507,1030-8998-6991-4966,376,2005-03-04
216,3044-9807-1311-7798,3872-6677-7515-4575,2602,2015-09-13
217,4444-7658-4292-3168,5951-7763-3515-3223,829,2000-11-27
218,4520-4874-2869-2354,1178-9048-1790-7987,9511,2010-02-02
219,5338-9909-6061-7552,3153-6576-4483-1859,11608,2012-03-21
220,5678-9091-5910-4379,1883-3957-7569-3585,135,2010-11-15
221,9687-8106-5149-3337,9984-6320-9675-9644,2501,2006-08-14
222,7895-1007-2934-2600,4053-9988-3423-9713,6685,2002-04-28
223,3900-1964-9683-8444,6399-5413-5220-2697,605,2014-09-11
224,2478-9649-2640-5614,1200-7726-4331-5076,1580,2015-03-28
225,9774-7231-4559-6334,5485-6733-4208-8714,2953,2016-05-23
226,6820-7444-3984-4547,5366-5010-5226-8398,3080,2014-04-13
227,5734-4141-9219-8688,6011-2470-5149-7118,507,2013-04-19
228,3996-3317-5816-2143,5394-2503-4151-2989,212,2002-04-29
229,9241-5471-6597-1787,5809-2597-4780-2046,200,2009-05-31
230,6554-6553-8555-2054,4208-8785-5104-2444,1916,2000-07-26
231,3153-6576-4483-1859,4929-7164-3858-7580,3582,2009-12-05
232,7333-3292-1587-3747,2392-6626-4869-4958,140,2015-03-25
233,7867-3975-9122-1380,6539-4183-3886-1886,136,2007-04-26
234,7862-2871-9758-8051,9090-5783-8260-1912,370,2002-03-18
235,1864-7468-1860-3771,1771-5127-6404-6326,991,2013-07-05
236,2648-5118-8519-7511,9944-8201-6012-7227,125203,2011-10-16
237,7457-2937-2045-2104,2546-5182-4904-8295,23426,2007-01-14
238,5127-7040-9454-3377,2287-9156-1802-4290,287,2011-04-23
239,6820-7444-3984-4547,9823-8645-4828-2481,211,2006-08-30
240,1731-9946-4499-6498,7840-7486-7258-6597,262,2008-10-08
241,7919-7542-9594-4738,9202-7561-5267-4536,206,2007-03-15
242,4308-8741-7237-7873,4396-1674-6572-3470,4662,2010-02-21
243,7157-6371-8322-6378,8837-5076-7627-1273,866,2001-05-05
244,2100-1900-2157-2245,8949-3002-2567-8661,406,2012-03-29
245,9944-8201-6012-7227,4992-2874-1192-1710,121,2011-11-17
246,2749-1363-7174-2622,4719-7909-6704-6014,3226,2009-01-04
247,4969-7782-9260-9480,6737-3025-9962-4700,532,2009-04-25
248,1905-6063-4749-7367,6060-1587-2303-6607,16774,2012-12-24
249,5880-7577-5143-3240,6141-8200-2009-9015,504,2005-09-18
250,1349-7784-3215-3106,7390-9009-5052-4791,1018,2001-09-10
251,9005-1446-8677-9928,8712-8892-3803-7774,40112,2012-01-20
252,9823-8645-4828-2481,4381-1963-4458-3654,342,2002-03-16
253,8920-2559-8337-2518,9686-6701-6701-8741,5541,2006-09-19
254,3061-8785-8289-3095,7702-9419-4438-7560,397,2015-10-04
255,7702-9419-4438-7560,1087-8904-6825-4431,199,2017-08-07
256,7588-3482-9074-9421,2700-4730-6755-7578,144,2003-09-23
257,8223-4445-5171-5212,1458-6051-5599-5730,712,2015-02-11
258,6155-3892-8658-9759,8261-9104-6002-3793,139,2012-01-14
259,1592-9997-8672-4401,8278-1226-8173-6671,131,2005-06-15
260,2947-1477-7800-1077,9918-6928-7086-2434,478,2003-04-30
261,2545-3469-3757-8509,2116-6361-4696-7927,180006,2013-10-09
262,4479-3389-4179-7584,5775-9012-2131-1977,796,2014-01-10
263,1663-6129-4398-4676,1197-5300-6040-9699,26590,2015-01-11
264,5516-2697-3911-4263,7709-2815-5062-7969,417,2008-10-02
265,1111-5223-2196-4110,1576-8465-8909-7614,24531,2001-01-05
266,2707-7467-5888-1265,4259-3117-3452-9450,118,2000-01-26
267,8762-2018-7799-8542,2683-4231-6291-1829,627,2017-11-12
268,2951-1889-8661-6673,2259-2586-9920-7884,3704,2015-04-22
269,2683-4231-6291-1829,4308-8741-7237-7873,100890,2007-12-12
270,9286-3155-5067-9054,1852-5951-3815-8419,100,2003-03-16
271,7610-6717-4033-6507,6819-3566-5223-5388,452,2006-03-17
272,3310-2339-6005-7148,1626-6015-4454-5000,2685,2005-12-12
273,2648-5118-8519-7511,7839-6652-8274-2902,397,2001-10-24
274,2553-4713-2832-4609,7358-5663-1260-5203,368,2007-05-18
275,1731-9946-4499-6498,3910-8418-5266-9875,1736,2016-01-28
276,5266-4623-1726-8475,5550-4271-9814-9680,130,2011-02-21
277,4308-8741-7237-7873,9313-1866-7301-9370,556259,2015-03-10
278,6979-9109-9143-4052,9108-6099-4015-6439,969,2014-04-09
279,8588-1802-2855-4558,7457-2937-2045-2104,4826,2004-08-27
280,7179-7593-9877-3438,2874-5741-2396-8396,468,2009-09-10
281,9984-6320-9675-9644,6155-3892-8658-9759,941,2008-03-25
282,2478-9649-2640-5614,7382-2221-5183-2633,221,2000-03-17
283,9329-2600-1816-5971,7058-8577-4665-6522,134091,2001-01-18
284,2478-9649-2640-5614,7584-8397-8661-8366,7098,2005-07-02
285,4929-7164-3858-7580,5543-8665-1654-2596,170,2007-10-25
286,2950-3967-6272-3982,9241-6706-6081-5893,486,2004-06-11
287,6642-1169-2286-8599,6399-5413-5220-2697,448,2012-04-18
288,1210-3321-3878-4306,6554-6553-8555-2054,201,2014-10-24
289,3790-3769-6211-4637,2344-1699-2492-6139,124,2005-05-19
290,7122-6608-7712-1243,3900-1964-9683-8444,753,2014-06-07
291,3203-1684-1966-6151,2874-5741-2396-8396,654,2007-08-01
292,7058-8577-4665-6522,5432-1084-9790-2504,101,2013-02-27
293,1626-6015-4454-5000,2864-2456-7543-6860,105473,2009-09-28
294,4630-8446-4653-4319,4053-9988-3423-9713,403,2005-10-26
295,7943-4574-6222-9564,8935-8102-5270-7498,109,2016-10-22
296,9863-2305-4323-5632,9762-4023-2713-4097,305,2017-12-23
297,7430-4957-9936-4656,4314-8097-6317-7681,76346,2017-08-06
298,2116-6361-4696-7927,2037-1540-5616-7992,366,2013-02-06
299,3188-8108-4628-7632,2648-5118-8519-7511,2366,2012-02-28
300,3203-1684-1966-6151,7147-6356-6428-6293,110,2012-03-12
301,7483-1990-1340-9859,4396-1674-6572-3470,35158,2003-07-03
302,2424-7292-9736-5880,9375-9995-5638-4409,190,2003-06-11
303,6282-6835-7665-5225,8888-6334-8351-4347,20249,2000-02-08
304,5517-5979-6775-8239,1383-3039-2728-2675,660,2015-01-11
305,6399-5413-5220-2697,1249-7488-9629-2201,668,2000-03-07
306,5485-6733-4208-8714,2813-2569-7201-5240,409,2004-01-12
307,4630-8446-4653-4319,2448-7293-7145-2790,185,2015-02-03
308,7839-6652-8274-2902,1030-8998-6991-4966,117,2006-10-16
309,8040-1255-5165-9474,5471-8689-3055-3672,130,2008-04-29
310,2007-7577-5180-1127,4883-9170-2490-6752,182,2014-05-23
311,8095-6706-4249-8602,2683-4231-6291-1829,135,2001-12-14
312,8457-8960-2036-4370,8665-5686-8087-9242,484,2008-10-19
313,7839-6652-8274-2902,2512-9908-8545-5222,165,2010-10-12
314,7840-7486-7258-6597,9774-7231-4559-6334,1814,2010-09-11
315,8837-5076-7627-1273,7554-2549-5558-9706,137,2003-10-27
316,2707-7467-5888-1265,3685-2676-1610-9297,771,2009-01-20
317,4113-5882-6577-6801,5409-5672-1946-4179,109,2003-11-08
318,1200-7726-4331-5076,1074-7985-4747-1073,149,2008-06-24
319,2478-9649-2640-5614,2990-7332-9395-6247,215,2000-11-29
320,5027-8275-4420-8923,4993-2514-7086-6874,6875,2007-12-11
321,7702-9419-4438-7560,6475-4066-4575-9877,1691,2002-09-20
322,5376-4903-4064-5144,8585-9822-8207-3697,107,2008-12-02
323,8374-8718-4673-8482,5338-9909-6061-7552,136,2001-01-10
324,4479-3389-4179-7584,4373-5620-4938-3868,334,2005-12-19
325,7396-5640-9930-5713,2769-6713-7879-3858,502,2000-07-21
326,7702-9419-4438-7560,2708-2096-6956-7097,232,2003-11-22
327,7157-6371-8322-6378,2828-6616-7813-1071,153,2002-09-21
328,2874-5741-2396-8396,3072-3467-7590-8779,2267,2017-06-04
329,5392-9349-8174-6241,9774-7231-4559-6334,130,2015-03-16
330,7058-8577-4665-6522,3040-1699-4901-4347,103,2003-02-27
331,2273-2281-9416-4537,5662-7427-8493-8663,127,2016-07-17
332,4479-3389-4179-7584,7253-4522-1894-3879,5502,2003-10-09
333,6195-4438-5950-5929,4680-9212-8179-6498,458,2014-09-14
334,3767-1206-7158-1125,8888-4449-7585-9388,158,2005-09-26
335,1864-7468-1860-3771,4873-4792-8364-7993,187,2011-01-27
336,9193-1816-5748-8227,4076-8261-7888-1023,520,2012-10-10
337,1074-7985-4747-1073,8459-6336-4427-8091,129,2002-05-25
338,2838-5671-7351-8356,2212-2233-2161-3574,122,2010-09-14
339,2874-5741-2396-8396,7927-8297-8574-3013,262,2008-04-27
340,9085-5461-7829-8907,9745-4014-1191-9841,367,2003-09-03
341,8970-1168-4056-9700,5673-5835-3291-6530,320,2011-08-22
342,7968-6585-2886-9618,6950-5362-1455-3764,209451,2011-06-16
343,6399-5413-5220-2697,4630-8446-4653-4319,1077,2012-06-02
344,9108-6099-4015-6439,8223-4445-5171-5212,216,2017-08-26
345,3705-6553-7181-4663,2885-8663-9339-2852,293,2001-09-13
346,3877-4446-9438-5658,6761-8066-4017-4632,280,2012-08-29
347,3579-4141-2557-5318,9327-8188-5507-4242,101,2000-08-22
348,3986-8941-7313-7853,7840-7486-7258-6597,100,2011-05-02
349,4992-2874-1192-1710,9313-1866-7301-9370,3196,2012-12-07
350,5850-9253-7469-3530,9944-8201-6012-7227,398,2016-06-15
351,2756-4130-4478-5941,3791-5590-4520-2315,241,2014-01-04
352,9064-2759-1901-6873,3152-9361-5239-2968,129,2004-03-25
353,6979-9109-9143-4052,9984-6320-9675-9644,597,2010-05-17
354,3345-1743-7731-1178,7400-5631-3369-8442,363,2004-05-09
355,3751-6813-2053-5208,5126-6975-6573-5183,1637,2008-02-24
356,3959-8037-6289-9952,2612-8627-5044-4868,2670,2014-01-01
357,4719-7909-6704-6014,1820-7615-3646-4813,278,2003-08-25
358,2864-2456-7543-6860,6571-2381-3709-4494,8648,2003-07-01
359,1184-6237-9604-5391,7179-7593-9877-3438,150,2000-12-15
360,2100-1900-2157-2245,6759-5358-1905-6087,3166,2016-11-07
361,5933-5294-5100-2451,4730-8226-7545-3448,155,2010-04-21
362,5338-9909-6061-7552,8225-2447-8236-7162,763,2001-11-03
363,3463-5849-6866-4602,5295-3577-3400-6065,2935,2011-09-17
364,4158-2899-9017-9842,2024-8259-9371-3888,369,2007-03-20
365,4158-2899-9017-9842,5941-2885-2820-6073,106,2000-09-10
366,8496-5736-2563-5986,4509-1665-9262-6477,993,2012-12-28
367,7457-2937-2045-2104,8366-6378-9584-3085,258,2003-09-12
368,8225-2447-8236-7162,1210-3321-3878-4306,384,2011-06-13
369,9808-8731-2556-7951,6903-9385-1330-1192,245,2014-04-12
370,9758-7096-7051-3310,3685-2676-1610-9297,147,2006-03-11
371,1731-9946-4499-6498,9329-2600-1816-5971,217,2014-12-31
372,4259-3117-3452-9450,7987-4939-2736-3021,1183,2002-10-18
373,3269-4933-5533-1859,3203-1684-1966-6151,7153,2007-08-20
374,9375-9995-5638-4409,3910-8418-5266-9875,109,2012-02-08
375,6579-9093-8897-6324,1458-6051-5599-5730,4542,2011-06-10
376,3502-1187-1479-2250,2287-9156-1802-4290,122,2014-06-21
377,7253-4522-1894-3879,6576-3434-4376-6192,171,2014-01-25
378,8382-2618-8277-8720,2479-9821-6489-8111,3189,2013-02-13
379,3203-1684-1966-6151,3029-1146-3750-4393,238,2000-07-09
380,9758-7096-7051-3310,3310-2339-6005-7148,184,2013-08-18
381,7013-4342-8171-6884,4292-9520-1255-2817,153,2001-05-09
382,1754-4633-6325-8588,4705-9320-4737-2277,144,2014-03-31
383,1349-7784-3215-3106,4326-2274-3824-9208,756,2006-10-17
384,4963-8511-3670-3954,4114-9487-8043-4346,2575,2015-08-11
385,2116-6361-4696-7927,9676-1074-3342-1773,563,2014-07-19
386,4963-8511-3670-3954,6060-1587-2303-6607,379,2012-01-17
387,8584-4285-2573-9732,6871-8804-7045-2960,105,2016-07-30
388,7693-6371-6866-5612,8302-2285-4051-2017,106,2015-02-24
389,1864-6856-2781-1040,6213-4799-6433-6641,541,2012-07-27
390,2073-2118-7199-1364,4748-9933-6630-2285,201,2012-08-05
391,9575-2189-1406-6142,8770-7273-7965-5827,884,2014-08-27
392,3130-8288-1701-7043,7271-2726-2827-6998,138,2007-11-03
393,4055-6155-1034-8108,9868-4205-8693-4723,125,2008-07-20
394,9438-6381-5981-9318,1035-8312-1462-9062,3984,2011-02-17
395,5457-1890-2615-6757,6148-1629-6874-4707,540,2008-06-30
